theta1,theta2,thetaPunto1,thetaPunto2
0.785398,0,5,-5
0.833596,-0.0475841,4.64183,-4.51986
0.878465,-0.0907158,4.33441,-4.10988
0.920467,-0.130037,4.06825,-3.75762
0.959974,-0.16607,3.83517,-3.45227
0.997283,-0.199243,3.62856,-3.18517
1.03263,-0.229904,3.44323,-2.9495
1.06622,-0.25834,3.27507,-2.73996
1.09819,-0.284791,3.12086,-2.5524
1.12868,-0.309461,2.97803,-2.38357
1.15779,-0.332525,2.84453,-2.2309
1.1856,-0.354133,2.71869,-2.09232
1.21219,-0.374418,2.59915,-1.96619
1.23761,-0.393498,2.48477,-1.85114
1.2619,-0.411477,2.37463,-1.74609
1.28512,-0.428452,2.26793,-1.6501
1.30727,-0.444509,2.16402,-1.56241
1.32841,-0.459727,2.06233,-1.48236
1.34853,-0.474181,1.96239,-1.40941
1.36766,-0.487938,1.86379,-1.34306
1.38581,-0.501064,1.76618,-1.28288
1.40299,-0.513616,1.66927,-1.2285
1.4192,-0.525652,1.57281,-1.17955
1.43444,-0.537225,1.47658,-1.13573
1.44873,-0.548383,1.38042,-1.09672
1.46205,-0.559174,1.28417,-1.06223
1.47441,-0.569642,1.18772,-1.032
1.48581,-0.579828,1.09096,-1.00575
1.49623,-0.58977,0.993844,-0.983206
1.50568,-0.599504,0.8963,-0.964109
1.51416,-0.609063,0.7983,-0.948191
1.52165,-0.618478,0.699825,-0.935187
1.52815,-0.627777,0.600872,-0.924827
1.53366,-0.636983,0.501451,-0.91684
1.53818,-0.646121,0.401585,-0.910952
1.54169,-0.655209,0.301307,-0.906885
1.5442,-0.664265,0.20066,-0.904359
1.54571,-0.673301,0.0996983,-0.903088
1.5462,-0.682331,-0.00151741,-0.902786
1.54567,-0.69136,-0.102918,-0.903161
1.54414,-0.700396,-0.204426,-0.903921
1.54158,-0.70944,-0.30596,-0.904767
1.53802,-0.718492,-0.40743,-0.905403
1.53344,-0.727547,-0.508742,-0.905526
1.52784,-0.7366,-0.609797,-0.904833
1.52124,-0.745641,-0.710489,-0.903021
1.51363,-0.754657,-0.810712,-0.899782
1.50503,-0.763632,-0.910353,-0.894813
1.49543,-0.772547,-1.0093,-0.887805
1.48484,-0.781381,-1.10743,-0.878453
1.47328,-0.790108,-1.20463,-0.866453
1.46075,-0.798701,-1.30078,-0.851505
1.44727,-0.807128,-1.39576,-0.833308
1.43284,-0.815355,-1.48945,-0.811572
1.41749,-0.823347,-1.58175,-0.786009
1.40121,-0.831062,-1.67253,-0.756341
1.38404,-0.838459,-1.7617,-0.722301
1.36598,-0.845493,-1.84916,-0.683634
1.34706,-0.852115,-1.93482,-0.640098
1.32729,-0.858277,-2.01861,-0.59147
